company,url,description,industry,country,total_funding_m,all_people,all_investors,your_collections,team_tag,expert_collections,esp,company_status,company_id,organization_id,founded_year,competitors,subsidiaries,parent_company,continent,state,city,street,zip_code,latest_funding_round,latest_funding_date,latest_funding_amount_m,latest_funding_simplified_round,latest_funding_investors,market_cap_m,stock_price_dollars,latest_revenue_min_m,latest_revenue_max_m,revenue_time_period,stock_price_1_week_percent_change,latest_revenue_multiple_min,latest_revenue_multiple_max,sector,sub_industry,latest_exit_round,date_of_exit,acquirer,vc_backed
Forte Labs,forte.io,"Forte Labs is a blockchain gaming company that aims to upgrade the games industry with accessible blockchain technology that benefits players and developers. It was founded in 2018 and is based in San Francisco, California.",Internet Software & Services,United States,910.00,"Mahesh Vellanki (Founder), Kevin Chou (Founder), Bela Pandya (CFO), Miguel Vias (CFO), Andy Yang (COO), Daniel Barnes (COO), Christopher Jimison (CTO)","Andreessen Horowitz, Battery Ventures, Griffin Gaming Partners, Union Grove Venture Partners, Animoca Brands, Big Bets, Cosmos, Griffin Gaming Partners, Kora Management, Overwolf, PlayStudios, Polygon Studios, Sea Capital, Solana Ventures, Tiger Global Management, Warner Music Group, zVentures",,,"Unicorns- Billion Dollar Startups, Blockchain, Gaming, Blockchain 50",,Alive / Active,377501,446314,2018,"Polygon, Venly",,,North America,California,San Francisco,,94104,Series B,2021-11-12,725.00,Series B,"Andreessen Horowitz, Animoca Brands, Big Bets, Cosmos, Griffin Gaming Partners, Kora Management, Overwolf, PlayStudios, Polygon Studios, Sea Capital, Solana Ventures, Tiger Global Management, Warner Music Group, zVentures",,,,,,,,,Internet,Gaming,,,,Yes
Applied Blockchain,appliedblockchain.com,Applied Blockchain is a full stack blockchain applications development and consulting firm.,Mobile Software & Services,United Kingdom,19.00,"Adi Ben-Ari (Founder), Francesco Canessa (CTO)","Momentum, Calibrate Partners, Shell, Mobility Tech Accelerator, QBN Capital, PWC Scale",,,Blockchain,,Alive / Active,279477,239633,2015,Protokol,,,Europe,England,London,One Canada Square Canary Wharf,E14 5AB,Series B,2021-04-22,16.50,Series B,Undisclosed Investors,REDACTED,REDACTED,,,,,,,Mobile & Telecommunications,Application Development,,,,Yes
Applied Blockchain,appliedblockchaininc.com,"Applied Blockchain (NASDAQ: APLD) delivers crypto mining and infrastructure solutions. The company also engages in direct mining of Ethereum, Bitcoin, and other crypto-assets.",Internet Software & Services,United States,32.50,Wes Cummins (Founder),Bitmain Technologies,,,Blockchain,,IPO / Went public,664124,773503,,,,,North America,Texas,Dallas,"3811 Turtle Creek Blvd, Suite 2100",75219,Unattributed,2021-08-03,32.50,Undisclosed,Bitmain Technologies,REDACTED,REDACTED,,,,REDACTED,,,Internet,Accounting & Finance,IPO,2022-04-13,Public,No
Block.one,block.one,"Block.one is a software publisher specializing in high performance blockchain technologies. Its first project, EOSIO, is an open-source blockchain protocol designed to enable secure data transfer and high-performance decentralized applications.",Internet Software & Services,Cayman Islands,300.00,,"Alan Howard, Bitmain Technologies, Louis Bacon, Peter Thiel, Christian Angermayer, Founders Fund, Galaxy Digital, Nomura Holdings, Richard Li, Thiel Capital",,,Blockchain,,Alive / Active,333877,93465,2016,,"FinLab EOS VC, Bullish Global",,North America,,Georgetown,,,Series A,2021-05-11,300.00,Series A,"Alan Howard, Christian Angermayer, Founders Fund, Galaxy Digital, Louis Bacon, Nomura Holdings, Richard Li, Thiel Capital",,,,,,,,,Internet,Monitoring & Security,,,,Yes
ConsenSys,consensys.net,"ConsenSys is a blockchain venture production studio that builds an ecosystem of consumer-centric products and enterprise solutions using blockchain technologies, primarily Ethereum. The company was formerly known as Capital Platinum Systems. It was founded in 2014 and is based in New York, New York.",Asset & Financial Management & Trading Software,United States,732.50,"Evin McMullen (Founder), Joseph Lubin (CEO), Phil Davisny (CFO), Christopher McKibbin (COO), Rob Dawson (CTO), Amanda Keleher (Chief People Officer), Marc Mercuri (SVP)","SK Group, Paycheck Protection Program, J.P. Morgan Chase & Co., Alameda Research, Fenbushi Digital, Greater Bay Area Homeland Investments, Liberty City Ventures, MakerDao, Mastercard, Protocol Labs, Quotidian Ventures, The LAO, UBS, Animoca Brands, Coinbase Ventures, DeFiance Capital, Dragonfly, Electric Capital, HSBC Venture Capital, Marshall Wace Asset Management, ParaFi Capital, Spartan Group, Think Investments, Third Point, Anthos Capital, C Ventures, Microsoft, SoftBank Group, Sound Ventures, Temasek, True Capital Management, UTA Ventures, Mindrock Capital",,,"Unicorns- Billion Dollar Startups, Blockchain, Fintech, Conference Exhibitors, Blockchain 50","Blockchain Cross-Border Payments & CBDCs (Financial Services), Secure Transactions (Financial Services)",Alive / Active,306735,92229,2014,"Accubits Technologies, Alchemy, Argent, Bitbond, BlockApps, Blockchain Worx, Blocko, Brave Software, Cambridge Blockchain, Coinbase, Digital Asset, Evernym, Fireblocks, HEADLINE, ICONLOOP, IronWeave, MultiChain, NUTS Finance, Phantom, Protokol, Quantstamp, R3, Rainbow, Samsung SDS, SecureKey Technologies, Securitize, Spring Labs, Taurus, Tokeny Solutions","MyCrypto, Planetary Resources, ConsenSys Mesh, Truffle, Infura, Heritage Financial Systems, Treum, Fluidity, Quorum, Ethereal Ventures",,North America,New York,New York,49 Bogart Street Suite #22,11206,Series D,2022-03-11,450.00,Series D,"Anthos Capital, C Ventures, Marshall Wace Asset Management, Microsoft, ParaFi Capital, SoftBank Group, Sound Ventures, Temasek, Third Point, True Capital Management, UTA Ventures, Undisclosed Investors",,,52.000000,52.000000,FY 2020,,61.538460,61.538460,Software (non-internet/mobile),,,,,Yes
BlockCerts Blockchain,blockcerts.com,"BlockCerts Blockchain provides a smart contract streaming solution, a suite of integrated SaaS solutions and distributed ledger technology.",Data & Document Management Software,Canada,18.69,Daniel Gay (Chief Marketing Officer),Hillcore Group,,,Blockchain,,Alive / Active,394494,468652,2016,"DocuSign, Dropbox, Slack Technologies, Zoom Video Communications",,,North America,British Columbia,Vancouver,,,Corporate Minority,2019-06-18,18.69,Corporate Minority,Hillcore Group,,,,,,,,,Software (non-internet/mobile),,,,,No
NEAR Protocol,near.org,"NEAR Protocol is a scalable blockchain designed to provide the performance and user experience necessary to bridge the gap to mainstream adoption of decentralized applications. It serves clients operating in the financial services industries as well as individuals. It was founded in 2017 and is based in Zug, Switzerland.",Internet Software & Services,Switzerland,538.70,"Alexander Skidanov (Founder), Illia polosukhin (Founder), Marieke Flament (CEO)","Andreessen Horowitz, Dragonfly, 0 Ventures, Alameda Research Ventures, Mechanism Capital, Santiago Roel Santos, Stani Kulechov, Three Arrows Capital, SID Venture Partners, FTX Ventures, Hashed, Republic Capital, Tiger Global Management, Newtribe Capital, A.Capital, Accomplice, Amplify Partners, Andrew Keys, Balaji Srinivasan, Coinbase Ventures, Electric Capital, IDEO CoLab, MetaStable Capital, Multicoin Capital, Naval Ravikant, Pantera Capital, RippleX, Scalar Capital",,,Blockchain,,Alive / Active,453817,539568,2017,"SKALE Labs, Solana Labs",Near Foundation,,Europe,,Zug,Chamerstrasse 12 C,6300,Series C - II,2022-05-10,5.00,Series C,Newtribe Capital,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Mysten Labs,mystenlabs.com,"Mysten Labs is a crypto and blockchain infrastructure technology start-up. It creates foundational infrastructure to accelerate the adoption of web3. The company was founded in 2021 and is based in San Francisco, California.",Internet Software & Services,United States,336.00,"Kostas Kryptos (Founder), Evan Cheng (CEO), Sam Blackshear (CTO)","Andreessen Horowitz, Coinbase Ventures, Electric Capital, Lightspeed, NFX, Redpoint e.ventures, Samsung NEXT, Scribble Ventures, Slow Ventures, Standard Crypto, Apollo, Binance Labs, Circle Ventures, Dentsu Ventures, FTX Ventures, Franklin Templeton, Greenoaks Capital Management, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",,,Blockchain,,Alive / Active,695006,810989,2021,,,,North America,California,San Francisco,,,Series B,2022-09-08,300.00,Series B,"Andreessen Horowitz, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, FTX Ventures, Franklin Templeton, Greenoaks Capital Management, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital, Undisclosed Investors",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
BitFury,bitfury.com,"The Bitfury Group is a full-service blockchain technology company. They develop and deliver cutting-edge software and hardware solutions necessary for businesses, governments, organizations, and individuals to securely move assets across the blockchain.",Specialty Computer Hardware,Netherlands,170.00,"Valery Vavilov (Founder), Fabrizio Del Maffeo (Founder), Mark Dollar (Founder), Brian Brooks (CEO), Carlo Frondaroli (CFO), Marc Witzke (CTO), Chandra Katta (CTO)","Bill Tai, Binary Capital, Blockchain Capital, Georgian Co-Investment Fund, QueensBridge Venture Partners, ZAD Investment Company, Bob Dykes, Lars Rasmussen, DRW Venture Partners, iTech Capital, Chong Sing Holdings FinTech Group, Meagan Jones, Argenthal, Armat Group, Dentsu Ventures, Galaxy Digital, Jabre Capital, Korelya Capital, Lian Group, MACSF, Macquarie Capital, NAVER",,,"Unicorns- Billion Dollar Startups, Blockchain, Fintech, Blockchain 50",,Alive / Active,184570,174474,2011,Spondoolies,"Allied Control, BitFury Capital",,Europe,,Amsterdam,Herengracht 168,1016 BP,Series D,2018-11-06,80.00,Series D,"Argenthal, Armat Group, Dentsu Ventures, Galaxy Digital, Jabre Capital, Korelya Capital, Lian Group, MACSF, Macquarie Capital, NAVER, iTech Capital",,,,,,,,,Computer Hardware & Services,,,,,Yes
Unizen,unizen.io,"Unizen is a digital asset exchange that provides global traders and retail investors with access to blockchain projects. It is based in Vaduz, Liechtenstein.",Internet Software & Services,Liechtenstein,200.00,"Sean Noga (CEO), Tom Sweeney (COO), Martin Granström (CTO)","Fomocraft Ventures, JUN Capital Partners, Global Emerging Markets",,,Blockchain,,Alive / Active,670559,780732,,,,,Europe,,Vaduz,,,Private Equity,2022-06-27,200.00,Private Equity,Global Emerging Markets,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
